rank,issue_name,nserror_domain,nserror_code,issue_id,events_total,users_total,processed_events,analysed_events,last_scraped
1,hu.microsec.eszigno.mobile.SelfServiceRuntimeError (30803),hu.microsec.eszigno.mobile.hu.microsec.eszigno.mobile.SelfServiceRuntimeError,30803,1782c2128a0148281dace39bf8664159,9,805,0,0,2026-05-21T18:57:31.572Z
2,FaceKom handleFlow (0),FaceKom handleFlow,0,66ab9689c1addf4cdac8881ddf52eff2,2,364,0,0,2026-05-21T18:57:31.572Z
3,FaceKom stopAndClear (0),FaceKom stopAndClear,0,fc90ac57101d1258a32120e65642f194,114,76,0,0,2026-05-21T18:57:31.572Z
4,FaceKomSDK.FaceKomError (46),hu.microsec.eszigno.mobile.FaceKomSDK.FaceKomError,46,,13,11,10,0,2026-05-21T18:57:31.572Z
5,FaceKomSDK.FaceKomError (3),hu.microsec.eszigno.mobile.FaceKomSDK.FaceKomError,3,,6,5,0,0,2026-05-21T18:57:31.572Z
6,FaceKomSDK.FaceKomError (43),hu.microsec.eszigno.mobile.FaceKomSDK.FaceKomError,43,,2,1,0,0,2026-05-21T18:57:31.572Z
,SelfServiceRuntimeError (30803) — Facekom finished,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,30803,,690,281,0,0,
,UndefinedUIError.openMessage (30302),hu.microsec.eszigno.mobile.UndefinedUIError.openMessage,30302,,21,20,0,0,
,UndefinedDataError.downloadCertificates (21807),hu.microsec.eszigno.mobile.UndefinedDataError.downloadCertificates,21807,,7,3,0,0,
,UndefinedDataError.automaticLogin (21802),hu.microsec.eszigno.mobile.UndefinedDataError.automaticLogin,21802,,6,4,0,0,
,UndefinedDataError (21801),hu.microsec.eszigno.mobile.UndefinedDataError,21801,,6,3,0,0,
,UndefinedDataError.setAccount (21805),hu.microsec.eszigno.mobile.UndefinedDataError.setAccount,21805,,2,1,0,0,
